scene_id,trip_id,rater_status,stage1_driver,verdict,verdict_flavour,verdict_source,rationale
Brugmansia_01_S02_B_RCL,Brugmansia_01,only_B,RCL,AMBIGUITY,2b,manual,"Temporal dissociation / dream-like detachment (""living in a dream where I could remember what I had just done 3 seconds ago… couldn't live in the present""). No modality, no object, no concrete perceptual content — phenomenologically real but arguably not a hallucinatory scene in the external-object sense of the other _AB scenes in this trip. Would fit a dissociative / altered-time-perception category the taxonomy lacks. Neither _AB scene here addresses time perception, so the rater criterion is silent on this case."
Brugmansia_01_S05_A_RCL,Brugmansia_01,only_A,RCL,AMBIGUITY,2a,manual,"Mixed summary passage (""laws of physics changed, faces had changed, every room I couldn't see had to be a room in my house""). The face-alteration clause matches B's criterion (B individuated S06, an identity-morph scene), but the passage is framed as an ongoing summary of trip-state rather than a discrete perceptual moment, mixed with delusional content (laws of physics, room mapping). Guidelines do not cleanly rule on whether generalised perceptual-state summaries count as a scene or should be trip-level — an edge case needing a clarifying rule."
Brugmansia_02_S01_B_RCL,Brugmansia_02,only_B,RCL,MISS,,manual,"Concrete brief visual alteration (""strange colors for a moment""). The pair's criterion elsewhere (Brugmansia_01 S04 ""blurriness and colors changing"") includes ambient colour alterations, even brief ones. A should have individuated by own criterion."
Brugmansia_02_S02_B_RCL,Brugmansia_02,only_B,RCL,AMBIGUITY,2b,manual,"Dislocation feeling (""somehow in the wrong place""). Metacognitive/dissociative state about place, not a perceptual hallucinatory scene. Phenomenologically real but outside the hallucinatory-scene category — would need a dissociative-experience category."
Brugmansia_02_S03_A_RCL,Brugmansia_02,only_A,RCL,MISS,,manual,Auditory/social hallucination: conversing with a friend who wasn't really there. Matches the pair's criterion across every other Brugmansia trip (conversations with non-existent people are individuated consistently as _AB).
Brugmansia_02_S04_A_RCL,Brugmansia_02,only_A,RCL,MISS,,manual,"Concrete visual+social hallucination: a fake inmate in the police car becomes a friend, then vanishes. Classic person-hallucination pattern consistently individuated elsewhere."
Brugmansia_02_S05_A_RCL,Brugmansia_02,only_A,RCL,MISS,,manual,"Multiple visitors to jail cell ""that weren't there"". Concrete person hallucinations matching pair's criterion."
Brugmansia_02_S06_B_RCL,Brugmansia_02,only_B,RCL,AMBIGUITY,2b,manual,"Post-trip reading impairment (letters visible but not forming words). Cognitive / residual-effects state, not a hallucinatory scene. Not a perceptual hallucination under any reasonable reading."
Brugmansia_04_S05_A_RCL,Brugmansia_04,only_A,RCL,AMBIGUITY,2a,manual,"Hands appear red in shower — narrative adds ""actually, they're still red"", suggesting possibly real physiological flush rather than hallucinated colour. Edge case: Guidelines do not rule cleanly on how to handle colour perceptions that may persist after the trip as real phenomena."
Brugmansia_04_S06_A_RCL,Brugmansia_04,only_A,RCL,MISS,,manual,"Hallucinated text on shower wall (""you are not...""), fades when approached. Concrete visual hallucination with classic fade-on-approach dynamics. Strongly matches B's criterion across the rich AB set in this trip (hallucinated text, fading objects)."
Brugmansia_04_S07_B_RCL,Brugmansia_04,only_B,RCL,AMBIGUITY,2a,manual,"Vague summary: ""watched all sorts of things fly by"". No specific object, modality, or concrete content. Guidelines do not rule on whether non-specific generalised hallucination summaries constitute a discrete scene."
Brugmansia_04_S11_A_RCL,Brugmansia_04,only_A,RCL,MISS,,manual,"Text on screen shifting colours (grey/red/orange/yellow/blue/violet). Concrete visual alteration matching AB criterion (S02 ""green/yellow waves of light on ceiling"", S15 ""walls pink-red""). B should have individuated."
Brugmansia_05_S01_A_RCL,Brugmansia_05,only_A,RCL,MISS,,manual,"""Loud crash near my bed"" (no apparent source). Concrete auditory hallucination. Pair's criterion consistently includes auditory hallucinations (music, voices) elsewhere."
Brugmansia_06_S01_A_AMP,Brugmansia_06,only_A,AMP,AMBIGUITY,2a,auto,Ambient perceptual amplification without a discrete hallucinatory object — the Guidelines do not rule cleanly on whether brightness/colour/shimmer changes alone constitute a scene.
Brugmansia_06_S03_B_RCL,Brugmansia_06,only_B,RCL,AMBIGUITY,2a,manual,"Tactile alteration: ""everything touched feels strangely new"". General tactile heightening without discrete object. Only _AB scene in this trip is a perceptual dysfunction (depth perception), so criterion for tactile is not established. Guidelines unclear on whether diffuse tactile ""feels strange"" sensations constitute a scene."
Brugmansia_06_S04_A_RCL,Brugmansia_06,only_A,RCL,MISS,,manual,"Water bottle disappears as it gets to his mouth. Classic disappearing-object hallucination. Pair's criterion includes many disappearing-object scenes elsewhere (Brugmansia_09_S03 CD player, Brugmansia_12_S03 pizza)."
Brugmansia_06_S05_A_RCL,Brugmansia_06,only_A,RCL,MISS,,manual,"Friends S and T appear, have a full conversation, then vanish along with cigarettes. Concrete people+conversation hallucination, matches pair's criterion overwhelmingly."
Brugmansia_06_S06_B_RCL,Brugmansia_06,only_B,RCL,MISS,,manual,Play structure parts anthropomorphised (flipping off / smiling / shadow becomes cloud dragon). Multiple concrete visual anthropomorphisations. Clear hallucinatory scene by any reasonable criterion.
Brugmansia_06_S07_B_RCL,Brugmansia_06,only_B,RCL,AMBIGUITY,2b,manual,"Post-trip reading impairment (""cannot read the rest of the night""). Cognitive residual-effects state, not a hallucinatory scene. Same pattern as Brugmansia_02_S06."
Brugmansia_07_S02_A_RCL,Brugmansia_07,only_A,RCL,MISS,,manual,"""Everything's kind of turning to jello visually"" — concrete whole-environment visual distortion. Matches AB S01 (flashes of light / sparkles) as ambient visual alteration criterion in this trip."
Brugmansia_08_S01_A_RCL,Brugmansia_08,only_A,RCL,MISS,,manual,"Converses with a companion ""J"" then realises J is 30 feet behind — had been talking with a non-existent companion. Near-identical to AB S04 ""talking to imaginary people in the tent"". B's omission is a clear compliance gap."
Brugmansia_09_S03_A_RCL,Brugmansia_09,only_A,RCL,MISS,,manual,"CD player disappears when looked at again. Classic disappearing-object hallucination. Directly matches AB S05 (""bread turns into marker and disappears"") — same pattern."
Brugmansia_10_S01_A_RCL,Brugmansia_10,only_A,RCL,MISS,,manual,"Believed his parents had come home and had an imaginary greeting/interaction with them. Concrete person hallucination. Matches AB S03/S04 (imaginary people conversations, 5-6 friends hanging out)."
Brugmansia_12_S07_B_RCL,Brugmansia_12,only_B,RCL,AMBIGUITY,2b,manual,"Cognitive orientation error on waking (""thinking I was at my girlfriend's house""). Not a perceptual hallucination; a transient spatial-orientation delusion. Phenomenologically real but outside the hallucinatory-scene category."
Brugmansia_13_S02_A_RCL,Brugmansia_13,only_A,RCL,MISS,,manual,"Pen in hand perceived as the sandals he was looking for. Object-misidentification illusion. Matches AB criterion (many misperceptions: mirror-reflection, imaginary cigarettes, brake lights)."
Brugmansia_13_S04_B_RCL,Brugmansia_13,only_B,RCL,MISS,,manual,Friends in music store disappear when he looks for them. Concrete visual hallucination of people vanishing. Matches AB S03 (bathroom friends vanish) and S10 (girlfriend appears/disappears) directly.
Brugmansia_14_S01_A_RCL,Brugmansia_14,only_A,RCL,MISS,,manual,"Billiard ball perceived as an apple, almost bitten. Object-misidentification illusion, concrete visual. Matches AB criterion (imaginary cigarettes, guitar-playing hallucination, imaginary people)."
Brugmansia_15_S01_A_RCL,Brugmansia_15,only_A,RCL,MISS,,manual,"Own mirror reflection perceived as a friend, has a conversation with ""him"" until hand-gesture mirroring reveals it's himself. Concrete visual+identity hallucination. Matches the only AB scene (2-hour conversation with imaginary friends) — same phenomenon."
Brugmansia_17_S01_A_RCL,Brugmansia_17,only_A,RCL,AMBIGUITY,2b,manual,"Mistook canola cooking oil for a drink and drank it. Cognitive-judgement / perceptual-confusion error driven by impaired state, but not a discrete hallucinatory scene (no specific hallucinated content was perceived in the oil bottle). Pair's criterion in neighbouring trips is concrete perceptual hallucinations; this sits outside that category."
Brugmansia_18_S04_A_RCL,Brugmansia_18,only_A,RCL,AMBIGUITY,2a,manual,"""The strange silent people would take on more horror-based figures"" — summary statement describing evolution of AB S02/S03 silent-people scenes. Granularity edge-case: is this a new scene or a continuation of already-individuated scenes? Guidelines do not specify how to handle scene-evolution."
Brugmansia_18_S05_B_RCL,Brugmansia_18,only_B,RCL,MISS,,manual,Mental patients on floor beside bed AT HOME (after hospital). Discrete continuation-at-new-location of S03 mental-patient hallucinations. A's individuation stopped at the earlier setting; B correctly individuated the home episode. A's omission is a gap.
Brugmansia_18_S06_B_RCL,Brugmansia_18,only_B,RCL,MISS,,manual,"Two specific female mental patients at home (pillow-headed and clock-headed). Concrete, specific visual hallucinations with distinctive morphology. Matches criterion clearly; A missed."
Brugmansia_20_S01_B_RCL,Brugmansia_20,only_B,RCL,MISS,,manual,Tactile hallucination: feels someone's legs across his chest as if a person came in and slept in his bed. Concrete somatic-person hallucination. Matches AB criterion (people appearing in room / chair) in tactile modality.
Brugmansia_20_S02_A_RCL,Brugmansia_20,only_A,RCL,AMBIGUITY,2b,manual,"""Couldn't see all to well because it was almost pitch black"" — darkness / low-light impaired vision. Not a hallucinatory scene under any reasonable reading; the phenomenon (dark room) is real. A's individuation here is a miscode; B correctly did not individuate. Not a MISS by B — the content is outside the hallucinatory-scene category entirely."
Brugmansia_20_S04_B_RCL,Brugmansia_20,only_B,RCL,MISS,,manual,"""Returning to room still sees the person in the bed; then gone"" — continuation of S01 chest-legs somatic hallucination, now visually. Concrete person hallucination. Matches AB S03/S05 (person in chair/on floor) criterion."
Brugmansia_20_S06_A_RCL,Brugmansia_20,only_A,RCL,MISS,,manual,"Roach on window blinds. Concrete insect hallucination. Directly matches AB S09 (""wasps flying in room; frog on blind-string eats a wasp"") — same location, same modality, same category."
Brugmansia_20_S10_A_RCL,Brugmansia_20,only_A,RCL,AMBIGUITY,2a,manual,Morning light arriving in discrete brightness-waves rather than continuously. Temporal/perceptual alteration without discrete object. Guidelines unclear on whether experientially-discrete light changes constitute hallucinations vs subjective time-perception artefacts.
Psilocybe_01_S03_A_RCL,Psilocybe_01,only_A,RCL,AMBIGUITY,2a,manual,"""Main narrator voice + other voices + entity voices + electronic music"" — expands AB S01 (cosmic hum) and S05 (talks with people) with novel auditory layers. Granularity edge-case: is this a new auditory scene or elaboration of S01/S05? Guidelines do not specify how to split ongoing-auditory phenomena into discrete scenes."
Psilocybe_01_S06_A_RCL,Psilocybe_01,only_A,RCL,AMBIGUITY,2a,manual,"""Erotic dance with entities; spotted by outsiders; giggling"" — elaboration of AB S04 (entities in room) with specific interactive content. Granularity edge-case: is this a new scene or a continuation/inner episode of S04?"
