substance,block,coder,trip_id,trip_id_inferred,dose_raw,item_id,item_code,level_1,level_2,level_3,occurrence_count,excerpt_idx,excerpt,source_row
psilocybin,01-10,Alessandra,Psilocybe_01,False,,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,8,0,"kaleidoscopic fragmentations of color and shapes, or fractals, all gently moving and swirling and pulsating",11
psilocybin,01-10,Alessandra,Psilocybe_01,False,,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,8,1,"If I would think about people in my life, I might see them or remember scenes and analyze them and talk about the situations with these people at the same time",11
psilocybin,01-10,Alessandra,Psilocybe_01,False,,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,8,2,"other ''entities'' around me that I didn't know. They did not necessarily all have a form, but I felt their presence. Some might just be the inside of a swirl from a corner of what I was seeing",11
psilocybin,01-10,Alessandra,Psilocybe_01,False,,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,8,3,"I felt caught in what seemed to be a very erotic dance with all these entities, and every now and then we were 'spotted' by outsiders",11
psilocybin,01-10,Alessandra,Psilocybe_01,False,,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,8,4,"I barely felt where the edges of my blanket or my own body ended and where these shaped began, they seemed to flow from one another .",11
psilocybin,01-10,Alessandra,Psilocybe_01,False,,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,8,5,There were still the breaking edges if I focused a little but more on one point,11
psilocybin,01-10,Alessandra,Psilocybe_01,False,,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,8,6,"I notice just how strong the visuals are when I look on the tile floor and every tiny strand of hair is moving, fluctuating, ondulating and
separating into its own edges.",11
psilocybin,01-10,Alessandra,Psilocybe_01,False,,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,8,7,"the connection I visualized was a growing mycelium in disturbed earth, branching out and connecting and sustaining even more beings at once.",11
psilocybin,01-10,Alessandra,Psilocybe_01,False,,visual_hallucination_geometrical_pattern,Visual hallucination | Geometrical pattern,Visual hallucination,Geometrical pattern,,3,0,"kaleidoscopic of color and shapes, or fractals",14
psilocybin,01-10,Alessandra,Psilocybe_01,False,,visual_hallucination_geometrical_pattern,Visual hallucination | Geometrical pattern,Visual hallucination,Geometrical pattern,,3,1,the inside of a swirl from a corner of what I was seeing,14
psilocybin,01-10,Alessandra,Psilocybe_01,False,,visual_hallucination_geometrical_pattern,Visual hallucination | Geometrical pattern,Visual hallucination,Geometrical pattern,,3,2,edges these shaped began,14
psilocybin,01-10,Alessandra,Psilocybe_01,False,,visual_hallucination_human_relatives_acquaintances,"Visual hallucination | Human | Relative(s), acquaintance(s)",Visual hallucination,Human,"Relative(s), acquaintance(s)",1,0,people in my life,18
psilocybin,01-10,Alessandra,Psilocybe_01,False,,visual_hallucination_human_others,Visual hallucination | Human | Other(s),Visual hallucination,Human,Other(s),3,0,outsiders,21
psilocybin,01-10,Alessandra,Psilocybe_01,False,,visual_hallucination_human_others,Visual hallucination | Human | Other(s),Visual hallucination,Human,Other(s),3,1,edges of my own body ended and where,21
psilocybin,01-10,Alessandra,Psilocybe_01,False,,visual_hallucination_human_others,Visual hallucination | Human | Other(s),Visual hallucination,Human,Other(s),3,2,beings,21
psilocybin,01-10,Alessandra,Psilocybe_01,False,,visual_hallucination_artefact_tool_cloth,"Visual hallucination | Artefact | Tool, cloth",Visual hallucination,Artefact,"Tool, cloth",1,0,edges of my blanket,26
psilocybin,01-10,Alessandra,Psilocybe_01,False,,visual_hallucination_plant_mushroom_fungus,"Visual hallucination | Plant | Mushroom, fungus",Visual hallucination,Plant,"Mushroom, fungus",1,0,mycelium,37
psilocybin,01-10,Alessandra,Psilocybe_01,False,,visual_hallucination_inorganic_entity_earth_river_sky_cloud,"Visual hallucination | Inorganic entity | Earth, river, sky, cloud",Visual hallucination,Inorganic entity,"Earth, river, sky, cloud",1,0,earth,41
psilocybin,01-10,Alessandra,Psilocybe_01,False,,visual_hallucination_inorganic_entity_other,Visual hallucination | Inorganic entity | Other,Visual hallucination,Inorganic entity,Other,1,0,strand of hair and its own edges,42
psilocybin,01-10,Alessandra,Psilocybe_01,False,,visual_hallucination_extraordinary_entity_other,Visual hallucination | Extraordinary entity | Other,Visual hallucination,Extraordinary entity,Other,2,0,"right there in my bed, and some sort of entities were there with me.",48
psilocybin,01-10,Alessandra,Psilocybe_01,False,,visual_hallucination_extraordinary_entity_other,Visual hallucination | Extraordinary entity | Other,Visual hallucination,Extraordinary entity,Other,2,1,entities,48
psilocybin,01-10,Alessandra,Psilocybe_01,False,,auditory_hallucination_human_celebrityies,Auditory hallucination | Human | Celebrity(ies),Auditory hallucination,Human,Celebrity(ies),1,0,I had came to were recited to me in the voice of Erykah Badu.,52
psilocybin,01-10,Alessandra,Psilocybe_01,False,,auditory_hallucination_human_relatives_acquaintances,"Auditory hallucination | Human | Relative(s), acquaintance(s)",Auditory hallucination,Human,"Relative(s), acquaintance(s)",1,0,"If I would think about people in my life, I might see them or remember scenes and talk about the situations with these people at the same time",53
psilocybin,01-10,Alessandra,Psilocybe_01,False,,auditory_hallucination_human_unknown_persons,Auditory hallucination | Human | Unknown person(s),Auditory hallucination,Human,Unknown person(s),1,0,"I could barely hear over my main narrator voice, my other voices, other people/entities voices and electronic music",54
psilocybin,01-10,Alessandra,Psilocybe_01,False,,auditory_hallucination_human_others,Auditory hallucination | Human | Other(s),Auditory hallucination,Human,Other(s),1,0,"I could barely hear over my main narrator voice, my other voices, other people/entities voices and electronic music",56
psilocybin,01-10,Alessandra,Psilocybe_01,False,,auditory_hallucination_inorganic_entity_other,Auditory hallucination | Inorganic entity | Other,Auditory hallucination,Inorganic entity,Other,1,0,"Auditive sensitivity increasing. There was a hum or a buzzing, almost like radio static but it did not feel mechanical, I heard it as being quite organicc/ ''the cosmic hum''.",77
