scene_id,trip_id,rater_status,parent_scene_id,lump_split_type,canonical_desc,canonical_span_start,canonical_span_end,rater_A_refs,rater_B_refs,adjudicator_note
Brugmansia_01_S01_AB,Brugmansia_01,both,,none,Sky full of moving white strands forming into a ball of light; clear vs cloudy sky,1775,2210,A01,"B01,B02",Same sky/light-ball passage; B split it into two excerpts but it is one scene. Classification disagreement on illusion vs full-blown immersive.
Brugmansia_01_S02_B,Brugmansia_01,only_B,,none,Living in a 3-second dream-delay; cannot live in the present,2364,2550,,B03,B treats the dream-delay experience as a nonsensory hallucination; A did not code it as a scene.
Brugmansia_01_S03_AB,Brugmansia_01,both,,none,In bathroom mirror sees a bald ~6' man who talks about life and death,2981,3300,A02,B04,"Same mirror-man passage. A codes many attributes (incrusted, unknown person, modal status, religious insight); B codes only as full-blown immersive. Major classification disagreement on type-of-visual-alteration."
Brugmansia_01_S04_AB,Brugmansia_01,both,,none,"Blurriness and colors changing, not mixing",4754,4830,A03,B05,Same excerpt. A reads it as an illusion of color; B reads it as a geometrical-pattern hallucination. Disagreement on modality + type-of-alteration.
Brugmansia_01_S05_A,Brugmansia_01,only_A,,none,"Laws of physics changed, faces changed, unseen rooms mapped to his home",5406,5620,A04,,"A scene-codes this as an illusion. B codes the same passage as trip-level 'Delusional' (see trip-level b04), not as a perceptual scene."
Brugmansia_01_S06_AB,Brugmansia_01,both,,none,Person in his room switches between a 12-year-old girl and his mother,6840,7000,A05,B06,Same switching-person passage. Disagreement on whether it's an illusion (A) or an incrusted-object hallucination (B).
Brugmansia_01_S07_AB,Brugmansia_01,both,,none,"Couch appears covered in spiders, centipedes, rollypolys and other insects",7832,8100,A06,"B07,B08",Same couch-insects passage; B split into two excerpts of the same scene. Both agree on incrusted+insect; A adds modal-status 'possible/probable event' which B omits.
Brugmansia_01_S08_AB,Brugmansia_01,both,,none,Mini-trips of giant shiny spiders seen only in reflected light,9417,9600,A07,B09,Same shiny-spiders-in-reflections passage. Both code insect; disagreement incrusted vs detached. A adds modal-status.
Brugmansia_02_S01_B,Brugmansia_02,only_B,,none,Smoked Brugmansia leaves make him see strange colors briefly,490,560,,B01,B codes the brief colour-seeing as an illusion; A did not individuate.
Brugmansia_02_S02_B,Brugmansia_02,only_B,,none,Feeling of being in the wrong place / dislocation,829,920,,B02,B codes this feeling of dislocation as an impossible-event modal-status entry; A codes the same sentence at trip-level (sense of strangeness) — see trip-level section.
Brugmansia_02_S03_A,Brugmansia_02,only_A,,none,Another friend talking who wasn't really there,2392,2460,A01,,A codes this as an incrusted hallucination of an acquaintance; B did not.
Brugmansia_02_S04_A,Brugmansia_02,only_A,,none,Fake inmate friend in the police car who later vanishes,2669,2980,A02,,"A codes this vividly hallucinated inmate; B did not individuate, though the narrative is explicit ('never there in the first place')."
Brugmansia_02_S05_A,Brugmansia_02,only_A,,none,People visiting his jail cell who weren't there,4587,4680,A03,,A codes the jail-cell visitors hallucination; B did not.
Brugmansia_02_S06_B,Brugmansia_02,only_B,,none,Post-trip inability to parse letters into words,4817,5050,,B03,B codes the reading impairment as a visual illusion; A did not. Whether this is really a hallucinatory scene is debatable — it is a perceptual deficit rather than added content.
Brugmansia_03_S01_AB,Brugmansia_03,both,,none,"On the drive home, sees snakes everywhere on the road",749,900,A01,B01,Same snakes-on-road passage. Agreement on incrusted-object; A additionally codes animal-other + modal status.
Brugmansia_03_S02_AB,Brugmansia_03,both,,none,Believes he is wearing a shirt and scrapes his chest pulling at skin as if it were fabric,967,1250,A02,B02,Same shirt passage. A codes as incrusted-object hallucination of a shirt (and clothes leaf); B codes as illusion (a misperception of the existing body). Classification disagreement on type-of-alteration.
Brugmansia_03_S03_AB,Brugmansia_03,both,,none,Fighting someone imagined in his room; asks roommate for help,1408,1500,A03,B03,Same fighting-someone passage. Both code unknown-person; A adds incrusted + modal status.
Brugmansia_04_S01_AB,Brugmansia_04,both,,none,Multicolored face emerges from shadow in corner of room,1650,1980,A01,B01,"Same face-in-corner passage. Classification disagreement: A=detached, B=incrusted."
Brugmansia_04_S02_AB,Brugmansia_04,both,,none,Green/yellow waves of light on ceiling; doily patterns; pink/green/blue drops on walls,1986,2200,A02,B02,"Same ceiling-patterns passage. A=illusion, B=geometrical pattern — classic illusion-vs-hallucination disagreement."
Brugmansia_04_S03_AB,Brugmansia_04,both,,none,Washcloth in shower appears as torn piece of face with eye still in socket,3342,3700,A03,B03,"Same passage. A=illusion (object misperceived), B=incrusted (object added)."
Brugmansia_04_S04_AB,Brugmansia_04,both,,none,Screw in shower ceiling grows legs and sniffs around; looks like a spider,3820,4180,A04,"B04,B05",Same screw-spider passage; B split into two excerpts of the same scene. A=illusion; B=incrusted + insect leaf. Disagreement on alteration type + B codes the spider as an actual object class.
Brugmansia_04_S05_A,Brugmansia_04,only_A,,none,Hands look red in the shower (like niacin flush),4185,4275,A05,,A scene-codes the red-hands observation as illusion; B did not individuate (arguably a borderline somatic/perceptual thing).
Brugmansia_04_S06_A,Brugmansia_04,only_A,,none,"Writing on shower wall: 'you are not...', fades when approached",4346,4580,A06,,A picks up the shower-wall writing; B did not.
Brugmansia_04_S07_B,Brugmansia_04,only_B,,none,Lying on bed watching 'all sorts of things' fly by,5202,5270,,B06,B treats the 'things flying by' line as a detached-object scene; A did not.
Brugmansia_04_S08_AB,Brugmansia_04,both,,none,Sees smoke and an imagined burning cigarette on desk; reaches for it repeatedly,6253,6600,A07,B07,Same cigarette-smoke scene. Both agree incrusted. A adds artefact leaf + modal status.
Brugmansia_04_S09_AB,Brugmansia_04,both,,none,Hallucinated music playing from his stereo / radio,6677,7200,"A08,A11",B09,Phantom-music scene. A provides two excerpts; both raters agree on auditory/artefact. A adds modal status.
Brugmansia_04_S10_AB,Brugmansia_04,both,,none,Sherlock Holmes standing at his bedroom door when he opens it,6853,6970,A09,B08,Same Sherlock scene. Disagreement on human-subtype (celebrity vs historical figure — both debatable for a fictional detective). A adds incrusted + impossible-event.
Brugmansia_04_S11_A,Brugmansia_04,only_A,,none,Text on screen turns into shifting colours,7410,7550,A10,,A codes the shifting-text colours; B did not.
Brugmansia_04_S12_AB,Brugmansia_04,both,,none,A spider builds a web across the bottom of his monitor; disappears when looked at,7978,8200,A12,B10,Same spider-on-monitor scene. Both agree insect. A adds incrusted + modal.
Brugmansia_04_S13_AB,Brugmansia_04,both,,none,Sinister growl from under his bed,8358,8450,A13,B11,Same growl scene. Both agree auditory-animal but disagree on mammal vs other leaf.
Brugmansia_04_S14_AB,Brugmansia_04,both,,none,A penny levitates from behind monitor and lands silently on top,8485,8600,A14,B12,Same flying-penny scene. Both agree incrusted. A also classifies object as tool/cloth (questionable fit — a penny is currency) and adds impossible-event.
Brugmansia_04_S15_AB,Brugmansia_04,both,,none,Walls appear projected on a moving backdrop; assume pink-red colour,8595,8760,A15,B13,Same walls-moving passage. Full agreement.
Brugmansia_05_S01_A,Brugmansia_05,only_A,,none,Hears a loud crash near his bed (no apparent source),1651,1720,A01,,A codes the crash as an auditory hallucination; B does not.
Brugmansia_06_S01_A,Brugmansia_06,only_A,,none,Lights start to appear brighter,527,570,A01,,A codes the brightening lights as illusion; B does not.
Brugmansia_06_S02_AB,Brugmansia_06,both,,none,Depth perception gone; eyes cannot focus; retinas hurt despite sunglasses,1374,1480,A02,B01,Same passage. Full agreement on illusion.
Brugmansia_06_S03_B,Brugmansia_06,only_B,,none,Everything touched feels strangely new (tactile),1542,1600,,B02,B codes a tactile-novelty sensation; A did not. NB: worksheet fuzzy-match score was only 50 — the exact excerpt may have been a paraphrase.
Brugmansia_06_S04_A,Brugmansia_06,only_A,,none,Water bottle disappears as it gets to his mouth,1641,1770,A03,,A codes vanishing bottle as incrusted hallucination; B does not.
Brugmansia_06_S05_A,Brugmansia_06,only_A,,none,"Friends S and T appear, have conversation; then vanish along with cigarette",1772,2130,"A04,A05",,A codes across two excerpts (friends appearing + friends vanishing with cigarette) as incrusted hallucinations of acquaintances and artefacts; B does not individuate this rich scene.
Brugmansia_06_S06_B,Brugmansia_06,only_B,,none,Play structure parts flipping him off / smiling / shadow is a cloud dragon,2178,2440,,B03,"B codes this play-structure-anthropomorphisation passage as incrusted. A codes the same passage at trip-level as 'biological projection' (see trip-level a02, a04) not as a scene."
Brugmansia_06_S07_B,Brugmansia_06,only_B,,none,Post-trip inability to read rest of the night,3816,3920,,B04,"B codes the reading impairment as a visual illusion. As with Brugmansia_02 S06, this is borderline — a perceptual/executive deficit rather than added content."
Brugmansia_07_S01_AB,Brugmansia_07,both,,none,Flashes of light / sparkles in vision,437,510,A01,B01,Same flashes-of-light passage. Full agreement.
Brugmansia_07_S02_A,Brugmansia_07,only_A,,none,Everything turning to jello visually,810,860,A02,,A codes the jello-visuals as illusion; B does not.
Brugmansia_07_S03_AB,Brugmansia_07,both,,none,Giant spider running in circles in living room; hisses when approached,972,1130,A03,B02,Same giant-spider scene. Both agree incrusted+insect. A adds modal-status impossible-event; B adds auditory-insect (the hissing). These are complementary captures of the same scene's multimodal attributes.
Brugmansia_08_S01_A,Brugmansia_08,only_A,,none,Talking to J then realises J is 30 feet behind; had been conversing with a non-existent companion,843,1180,A01,,A picks up the vanishing-conversation-partner episode as an incrusted hallucination of an acquaintance; B does not individuate it.
Brugmansia_08_S02_AB,Brugmansia_08,both,,none,"The moon dips, shoots up, and flies across the sky",1305,1480,A02,B01,Same moon passage. Both agree incrusted. A adds inorganic-entity leaf + impossible-event modal status.
